x,y,z,qx,qy,qz,qw
0.23006046336866598,-0.017531761507010874,0.10472113371856076,-0.009967969258646524,-0.09367420418693362,0.015477201633758786,0.9954326894815095
0.2222329028485019,-0.013140005860501663,0.13013983755038872,-0.005153427055736453,-0.048799472658408075,0.03467290174283108,0.9981932896701793
0.16028442589088931,-0.008574740815399313,0.1747396414104842,-0.042454140402072606,-0.4268380580890637,0.027204192768229944,0.9029212867273133
0.1950968672555431,-0.0011359837179806475,0.1480982214562773,-0.036262401875446396,-0.6722872159502223,0.0353011219139646,0.7385585747059864
0.24094475168870377,0.00975180909266139,0.1898178866977518,0.1945324247596191,-0.6713096245282948,-0.16510659791306972,0.6958737924784889
0.3010970983812873,-0.018713964689462466,0.24405425918990775,0.43656891934590514,-0.5500073120676681,-0.48084539886578964,0.5250592706760325
0.31376030357633294,-0.022153622809668035,0.17989694088397018,0.4085688046397415,-0.5155427199062628,-0.5133497815116614,0.5511435726277093
0.2929502664384396,-0.01892161083661398,0.12923467860906493,0.36636808934274157,-0.5054489642921465,-0.5037628671709563,0.5970919035349944
0.20809129470452037,-0.016323944741886302,0.13326603501342293,0.3390349643757335,-0.5610073697914573,-0.45021098886250066,0.6063300169691961
0.13537814136368262,-0.011485176548956366,0.1299338076720981,-0.007003178975110123,-0.42957973047116066,-0.09039089514798752,0.8984663024993832
