x,y,z,qx,qy,qz,qw
0.18476642551049977,0.012614381806124151,0.18612000595471234,0.014824687495019983,-0.1665269044762768,-0.0013081135350454102,0.9859245952734942
0.18810782969788858,-0.007510737566157591,0.1603717536564318,-0.0009141254036687521,-0.05902003843919702,-0.03347568212396912,0.9976949324035465
0.19713042803132286,-0.09741161500221927,0.17986064425305154,-0.052074203957153294,-0.14687257892551475,-0.20586320932137894,0.9660937127887228
0.19297901263052136,-0.09982053308217231,0.18261198528888928,-0.20669268326767729,-0.48499415623101294,-0.14445724348838282,0.837371427688522
0.2084170183462543,-0.11926042314162255,0.23903227930581822,-0.27367533370050356,-0.5670525196936681,-0.12560817484801035,0.7666654016220713
0.27187329721719755,-0.13939784624827484,0.2360009957242289,-0.23358392470406786,-0.6093580676553416,-0.1299566933276578,0.7464801091539772
0.2933987047626341,-0.13777743481073687,0.21103549366593638,-0.24321614433914085,-0.6776814434356175,-0.10431569958559189,0.686084545209837
0.2892133341010434,-0.11348429236343271,0.20425265059571523,-0.25504275603452464,-0.685717272912888,-0.04688001297811812,0.6801082844712284
0.23551931281774963,-0.08557800584011233,0.20346603376791406,-0.24288722753898362,-0.6686884835698416,-0.04294760976514076,0.7014392414564165
0.167000708507116,-0.05030800327441835,0.16189471122631646,-0.17593090127244063,-0.5639574306425109,-0.05671928634190676,0.8048498350359705
0.12365334802149737,-0.01064027441449426,0.1536547885983345,-0.01248804180294554,-0.46173368682966087,-0.08472012183308651,0.8828751623050699
