x,y,z,qx,qy,qz,qw
0.19216432622014273,-0.011487776314455137,0.1073556220075918,-0.011501881804328132,-0.10502233457787631,0.035282693173328335,0.9937772122146938
0.18261204546349796,-0.010783377624140472,0.16731445755424312,-0.01258732523839227,-0.13170330427036078,0.021490612453134043,0.9909762623110611
0.18194687076110028,-0.017829828913278795,0.19459849280486402,-0.07963917842311698,-0.45636582456461133,0.04434725190715417,0.8851108160438651
0.19032365858519062,-0.0386231744020189,0.24127123394741284,-0.5991389716666703,-0.49304141865721063,0.3735531041984191,0.5083313195765288
0.26613663302581464,-0.05122358788620915,0.2607640632282619,0.6189795996706146,0.5238664244900736,-0.35299571106696176,-0.46671431567064847
0.3072300451011461,-0.06001873179688604,0.24905665038719482,0.6014458132299024,0.5525084192197238,-0.3298360665278046,-0.4735034843134832
0.2838301066571709,-0.08028845198287042,0.23207540832736323,-0.5979565792537685,-0.49825331823878205,0.333562475840776,0.531909423588402
0.24249562293337174,-0.0758914883018858,0.24199809421399432,-0.6144834142916571,-0.4915990652347771,0.3173328486880855,0.5291883934519596
0.16032152582197276,-0.04834235911108152,0.18269257103014902,-0.6053024481690233,-0.4736849885137841,0.32308175817697254,0.5521319185036849
0.10847263930327852,-0.01796763279035804,0.15903809784567588,-0.09426174622177104,-0.3760055064615163,-0.004050980451713677,0.9218015902932805
